,Day,Date,Competition,A,B,Score A,Score B,Rank_A,Points_A,Previous_Points_A,+/-_A,Rank_B,Points_B,Previous_Points_B,+/-_B,+_A,-_A,Mean 3 +_A,Mean 3 -_A,+_B,-_B,Mean 3 +_B,Mean 3 -_B,Score Difference,Points Difference,Result
22,Tue,2019-06-11,WWC,Chile,Sweden,0,0,39.0,1589.0,1601.0,-1.0,9.0,1962.0,1976.0,0.0,0,0,0.6666666666666666,1.3333333333333333,0,0,0.6666666666666666,0.6666666666666666,0,-373.0,1
23,Tue,2019-06-11,WWC,New Zealand,Netherlands,0,0,19.0,1815.0,1819.0,0.0,8.0,1967.0,1987.0,-1.0,0,0,0.6666666666666666,2.6666666666666665,0,0,1.0,0.6666666666666666,0,-152.0,1
24,Wed,2019-06-12,WWC,France,Norway,0,0,4.0,2043.0,2046.0,-1.0,12.0,1915.0,1902.0,1.0,0,0,1.6666666666666667,0.3333333333333333,0,0,1.6666666666666667,0.3333333333333333,0,128.0,1
25,Wed,2019-06-12,WWC,Nigeria,Korea Republic,0,0,38.0,1599.0,1586.0,1.0,14.0,1883.0,1880.0,0.0,0,0,1.0,0.3333333333333333,0,0,1.3333333333333333,1.0,0,-284.0,1
26,Wed,2019-06-12,WWC,Norway,France,0,0,12.0,1915.0,1902.0,1.0,4.0,2043.0,2046.0,-1.0,0,0,1.6666666666666667,0.3333333333333333,0,0,1.6666666666666667,0.3333333333333333,0,-128.0,1
27,Wed,2019-06-12,WWC,Spain,Germany,0,0,13.0,1913.0,1920.0,-1.0,2.0,2072.0,2057.0,0.0,0,0,0.6666666666666666,0.0,0,0,1.3333333333333333,0.3333333333333333,0,-159.0,1
28,Wed,2019-06-12,WWC,Korea Republic,Nigeria,0,0,14.0,1883.0,1880.0,0.0,38.0,1599.0,1586.0,1.0,0,0,1.3333333333333333,1.0,0,0,1.0,0.3333333333333333,0,284.0,1
29,Wed,2019-06-12,WWC,Germany,Spain,0,0,2.0,2072.0,2057.0,0.0,13.0,1913.0,1920.0,-1.0,0,0,1.3333333333333333,0.3333333333333333,0,0,0.6666666666666666,0.0,0,159.0,1
30,Thu,2019-06-13,WWC,Brazil,Australia,0,0,10.0,1944.0,1964.0,0.0,6.0,2003.0,1999.0,0.0,0,0,0.3333333333333333,1.0,0,0,2.0,1.6666666666666667,0,-59.0,1
31,Thu,2019-06-13,WWC,Australia,Brazil,0,0,6.0,2003.0,1999.0,0.0,10.0,1944.0,1964.0,0.0,0,0,2.0,1.6666666666666667,0,0,0.3333333333333333,1.0,0,59.0,1
32,Thu,2019-06-13,WWC,South Africa,China PR,0,0,49.0,1485.0,1480.0,-1.0,16.0,1866.0,1871.0,-1.0,0,0,0.3333333333333333,1.6666666666666667,0,0,0.6666666666666666,1.0,0,-381.0,1
33,Thu,2019-06-13,WWC,China PR,South Africa,0,0,16.0,1866.0,1871.0,-1.0,49.0,1485.0,1480.0,-1.0,0,0,0.6666666666666666,1.0,0,0,0.3333333333333333,1.6666666666666667,0,381.0,1
34,Fri,2019-06-14,WWC,Jamaica,Italy,0,0,53.0,1449.0,1436.0,0.0,15.0,1868.0,1859.0,1.0,0,0,1.6666666666666667,1.3333333333333333,0,0,2.0,1.3333333333333333,0,-419.0,1
35,Fri,2019-06-14,WWC,Scotland,Japan,0,0,20.0,1812.0,1810.0,0.0,7.0,1991.0,1984.0,1.0,0,0,1.3333333333333333,0.6666666666666666,0,0,0.3333333333333333,2.0,0,-179.0,1
36,Fri,2019-06-14,WWC,Japan,Scotland,0,0,7.0,1991.0,1984.0,1.0,20.0,1812.0,1810.0,0.0,0,0,0.3333333333333333,2.0,0,0,1.3333333333333333,0.6666666666666666,0,179.0,1
37,Fri,2019-06-14,WWC,Italy,Jamaica,0,0,15.0,1868.0,1859.0,1.0,53.0,1449.0,1436.0,0.0,0,0,2.0,1.3333333333333333,0,0,1.6666666666666667,1.3333333333333333,0,419.0,1
38,Fri,2019-06-14,WWC,Argentina,England,0,0,37.0,1626.0,1631.0,-1.0,3.0,2049.0,2021.0,1.0,0,0,1.0,1.3333333333333333,0,0,0.6666666666666666,0.3333333333333333,0,-423.0,1
39,Fri,2019-06-14,WWC,England,Argentina,0,0,3.0,2049.0,2021.0,1.0,37.0,1626.0,1631.0,-1.0,0,0,0.6666666666666666,0.3333333333333333,0,0,1.0,1.3333333333333333,0,423.0,1
40,Sat,2019-06-15,WWC,New Zealand,Canada,0,0,19.0,1815.0,1819.0,0.0,5.0,2006.0,2006.0,0.0,0,0,0.6666666666666666,1.0,0,0,0.0,0.0,0,-191.0,1
41,Sat,2019-06-15,WWC,Netherlands,Cameroon,0,0,8.0,1967.0,1987.0,-1.0,46.0,1499.0,1499.0,0.0,0,0,1.0,0.3333333333333333,0,0,1.3333333333333333,1.3333333333333333,0,468.0,1
42,Sat,2019-06-15,WWC,Canada,New Zealand,0,0,5.0,2006.0,2006.0,0.0,19.0,1815.0,1819.0,0.0,0,0,0.0,0.0,0,0,0.6666666666666666,1.0,0,191.0,1
43,Sat,2019-06-15,WWC,Cameroon,Netherlands,0,0,46.0,1499.0,1499.0,0.0,8.0,1967.0,1987.0,-1.0,0,0,1.3333333333333333,1.3333333333333333,0,0,1.0,0.3333333333333333,0,-468.0,1
44,Sun,2019-06-16,WWC,Thailand,Sweden,0,0,34.0,1658.0,1670.0,-5.0,9.0,1962.0,1976.0,0.0,0,0,0.0,2.0,0,0,0.3333333333333333,0.6666666666666666,0,-304.0,1
45,Sun,2019-06-16,WWC,Chile,United States,0,0,39.0,1589.0,1601.0,-1.0,1.0,2101.0,2123.0,0.0,0,0,0.3333333333333333,1.0,0,0,1.3333333333333333,0.0,0,-512.0,1
46,Sun,2019-06-16,WWC,Sweden,Thailand,0,0,9.0,1962.0,1976.0,0.0,34.0,1658.0,1670.0,-5.0,0,0,0.3333333333333333,0.6666666666666666,0,0,0.0,2.0,0,304.0,1
47,Sun,2019-06-16,WWC,United States,Chile,0,0,1.0,2101.0,2123.0,0.0,39.0,1589.0,1601.0,-1.0,0,0,1.3333333333333333,0.0,0,0,0.3333333333333333,1.0,0,512.0,1
48,Mon,2019-06-17,WWC,Korea Republic,Norway,0,0,14.0,1883.0,1880.0,0.0,12.0,1915.0,1902.0,1.0,0,0,0.6666666666666666,1.0,0,0,1.0,0.0,0,-32.0,1
49,Mon,2019-06-17,WWC,Nigeria,France,0,0,38.0,1599.0,1586.0,1.0,4.0,2043.0,2046.0,-1.0,0,0,1.0,0.0,0,0,0.6666666666666666,0.3333333333333333,0,-444.0,1
50,Mon,2019-06-17,WWC,Norway,Korea Republic,0,0,12.0,1915.0,1902.0,1.0,14.0,1883.0,1880.0,0.0,0,0,1.0,0.0,0,0,0.6666666666666666,1.0,0,32.0,1
51,Mon,2019-06-17,WWC,Germany,South Africa,0,0,2.0,2072.0,2057.0,0.0,49.0,1485.0,1480.0,-1.0,0,0,0.6666666666666666,0.3333333333333333,0,0,0.0,1.0,0,587.0,1
52,Mon,2019-06-17,WWC,France,Nigeria,0,0,4.0,2043.0,2046.0,-1.0,38.0,1599.0,1586.0,1.0,0,0,0.6666666666666666,0.3333333333333333,0,0,1.0,0.0,0,444.0,1
53,Mon,2019-06-17,WWC,China PR,Spain,0,0,16.0,1866.0,1871.0,-1.0,13.0,1913.0,1920.0,-1.0,0,0,0.3333333333333333,0.3333333333333333,0,0,0.6666666666666666,0.0,0,-47.0,1
54,Mon,2019-06-17,WWC,South Africa,Germany,0,0,49.0,1485.0,1480.0,-1.0,2.0,2072.0,2057.0,0.0,0,0,0.0,1.0,0,0,0.6666666666666666,0.3333333333333333,0,-587.0,1
55,Mon,2019-06-17,WWC,Spain,China PR,0,0,13.0,1913.0,1920.0,-1.0,16.0,1866.0,1871.0,-1.0,0,0,0.6666666666666666,0.0,0,0,0.3333333333333333,0.3333333333333333,0,47.0,1
56,Tue,2019-06-18,WWC,Brazil,Italy,0,0,10.0,1944.0,1964.0,0.0,15.0,1868.0,1859.0,1.0,0,0,0.0,0.3333333333333333,0,0,1.0,1.0,0,76.0,1
57,Tue,2019-06-18,WWC,Australia,Jamaica,0,0,6.0,2003.0,1999.0,0.0,53.0,1449.0,1436.0,0.0,0,0,1.0,0.0,0,0,0.6666666666666666,1.0,0,554.0,1
58,Tue,2019-06-18,WWC,Italy,Brazil,0,0,15.0,1868.0,1859.0,1.0,10.0,1944.0,1964.0,0.0,0,0,1.0,1.0,0,0,0.0,0.3333333333333333,0,-76.0,1
59,Tue,2019-06-18,WWC,Jamaica,Australia,0,0,53.0,1449.0,1436.0,0.0,6.0,2003.0,1999.0,0.0,0,0,0.6666666666666666,1.0,0,0,1.0,0.0,0,-554.0,1
60,Wed,2019-06-19,WWC,Argentina,Scotland,0,0,37.0,1626.0,1631.0,-1.0,20.0,1812.0,1810.0,0.0,0,0,0.0,1.0,0,0,0.3333333333333333,0.0,0,-186.0,1
61,Wed,2019-06-19,WWC,Scotland,Argentina,0,0,20.0,1812.0,1810.0,0.0,37.0,1626.0,1631.0,-1.0,0,0,0.3333333333333333,0.0,0,0,0.0,1.0,0,186.0,1
62,Wed,2019-06-19,WWC,Japan,England,0,0,7.0,1991.0,1984.0,1.0,3.0,2049.0,2021.0,1.0,0,0,0.0,1.0,0,0,0.6666666666666666,0.0,0,-58.0,1
63,Wed,2019-06-19,WWC,England,Japan,0,0,3.0,2049.0,2021.0,1.0,7.0,1991.0,1984.0,1.0,0,0,0.6666666666666666,0.0,0,0,0.0,1.0,0,58.0,1
64,Thu,2019-06-20,WWC,Sweden,United States,0,0,9.0,1962.0,1976.0,0.0,1.0,2101.0,2123.0,0.0,0,0,0.3333333333333333,0.6666666666666666,0,0,0.3333333333333333,0.0,0,-139.0,1
65,Thu,2019-06-20,WWC,Cameroon,New Zealand,0,0,46.0,1499.0,1499.0,0.0,19.0,1815.0,1819.0,0.0,0,0,1.3333333333333333,0.0,0,0,0.0,0.6666666666666666,0,-316.0,1
66,Thu,2019-06-20,WWC,Netherlands,Canada,0,0,8.0,1967.0,1987.0,-1.0,5.0,2006.0,2006.0,0.0,0,0,0.3333333333333333,0.3333333333333333,0,0,0.0,0.0,0,-39.0,1
67,Thu,2019-06-20,WWC,Canada,Netherlands,0,0,5.0,2006.0,2006.0,0.0,8.0,1967.0,1987.0,-1.0,0,0,0.0,0.0,0,0,0.3333333333333333,0.3333333333333333,0,39.0,1
68,Thu,2019-06-20,WWC,United States,Sweden,0,0,1.0,2101.0,2123.0,0.0,9.0,1962.0,1976.0,0.0,0,0,0.3333333333333333,0.0,0,0,0.3333333333333333,0.6666666666666666,0,139.0,1
69,Thu,2019-06-20,WWC,New Zealand,Cameroon,0,0,19.0,1815.0,1819.0,0.0,46.0,1499.0,1499.0,0.0,0,0,0.0,0.6666666666666666,0,0,1.3333333333333333,0.0,0,316.0,1
70,Thu,2019-06-20,WWC,Thailand,Chile,0,0,34.0,1658.0,1670.0,-5.0,39.0,1589.0,1601.0,-1.0,0,0,0.0,1.0,0,0,0.0,0.6666666666666666,0,69.0,1
71,Thu,2019-06-20,WWC,Chile,Thailand,0,0,39.0,1589.0,1601.0,-1.0,34.0,1658.0,1670.0,-5.0,0,0,0.0,0.6666666666666666,0,0,0.0,1.0,0,-69.0,1
